Date,Adj Close
2008-12-31,55.95401
2009-01-02,57.730465
2009-01-05,57.403445999999995
2009-01-06,58.870579000000006
2009-01-07,56.493126000000004
2009-01-08,56.2103
2009-01-09,54.672481999999995
2009-01-12,52.533657
2009-01-13,51.817776
2009-01-14,49.351952000000004
2009-01-15,50.271111
2009-01-16,49.599415
2009-01-20,46.744704999999996
2009-01-21,48.326725
2009-01-22,48.02623
2009-01-23,46.930302000000005
2009-01-26,46.939144
2009-01-27,47.761097
2009-01-28,49.519871
2009-01-29,48.061588
2009-01-30,46.559101
2009-02-02,45.852066
2009-02-03,47.725742
2009-02-04,47.274994
2009-02-05,48.282536
2009-02-06,50.668827
2009-02-09,50.704178000000006
2009-02-10,48.158802
2009-02-11,47.557812
2009-02-12,47.319179999999996
2009-02-13,46.780052000000005
2009-02-17,44.411429999999996
2009-02-18,43.775104999999996
2009-02-19,42.882458
2009-02-20,42.714539
2009-02-23,40.99995
2009-02-24,42.900139
2009-02-25,41.282749
2009-02-26,40.071949
2009-02-27,39.603531
2009-03-02,36.952095
2009-03-03,36.342262
2009-03-04,38.109871000000005
2009-03-05,35.502646999999996
2009-03-06,34.804435999999995
2009-03-09,34.132740000000005
2009-03-10,36.430634000000005
2009-03-11,37.261425
2009-03-12,38.383873
2009-03-13,38.375034
2009-03-16,39.806793
2009-03-17,41.008781
2009-03-18,41.751186
2009-03-19,41.821896
2009-03-20,39.859833
2009-03-23,42.66151
2009-03-24,42.316833
2009-03-25,42.104515
2009-03-26,45.690533
2009-03-27,44.049164000000005
2009-03-30,42.122353000000004
2009-03-31,42.604057
2009-04-01,43.326611
2009-04-02,46.760983
2009-04-03,47.296215000000004
2009-04-06,46.5023
2009-04-07,44.156203999999995
2009-04-08,44.959057
2009-04-09,47.430008
2009-04-13,47.224857
2009-04-14,46.91264
2009-04-15,47.358654
2009-04-16,48.794857
2009-04-17,49.365753000000005
2009-04-20,46.636086
2009-04-21,48.063362
2009-04-22,48.777004
2009-04-23,49.392517
2009-04-24,49.918831
2009-04-27,47.563824
2009-04-28,47.617359
2009-04-29,49.535247999999996
2009-04-30,50.132927
2009-05-01,50.186440000000005
2009-05-04,53.65650600000001
2009-05-05,53.112354
2009-05-06,53.576209999999996
2009-05-07,52.755524
2009-05-08,53.504852
2009-05-11,51.453140000000005
2009-05-12,50.231037
2009-05-13,47.876049
2009-05-14,48.536148
2009-05-15,48.910812
2009-05-18,50.364853000000004
2009-05-19,50.275646
2009-05-20,50.293471999999994
2009-05-21,48.366665000000005
2009-05-22,48.179337
2009-05-26,50.08831
2009-05-27,48.794857
2009-05-28,49.339001
2009-05-29,51.328255
2009-06-01,53.522681999999996
2009-06-02,54.272003000000005
2009-06-03,52.99638
2009-06-04,53.817074
2009-06-05,53.736782
2009-06-08,53.478081
2009-06-09,54.325523
2009-06-10,54.352276
2009-06-11,54.39688100000001
2009-06-12,53.888424
2009-06-15,51.667229
2009-06-16,50.98037
2009-06-17,50.998196
2009-06-18,51.247963
2009-06-19,51.586948
2009-06-22,49.829628
2009-06-23,49.276554
2009-06-24,50.071449
2009-06-25,52.278511
2009-06-26,52.260567
2009-06-29,52.215709999999994
2009-06-30,52.215709999999994
2009-07-01,52.565594
2009-07-02,50.744347
2009-07-06,50.860966
2009-07-07,49.201187
2009-07-08,49.228092
2009-07-09,49.353706
2009-07-10,50.008652000000005
2009-07-13,50.555923
2009-07-14,51.174984
2009-07-15,52.125984
2009-07-16,53.462771999999994
2009-07-17,53.803703000000006
2009-07-20,54.368922999999995
2009-07-21,54.036964000000005
2009-07-22,54.593231
2009-07-23,56.244034
2009-07-24,56.943821
2009-07-27,57.437270999999996
2009-07-28,57.114295999999996
2009-07-29,56.423466000000005
2009-07-30,57.688492000000004
2009-07-31,57.67952
2009-08-03,59.159863
2009-08-04,59.294433999999995
2009-08-05,58.83688000000001
2009-08-06,58.235764
2009-08-07,60.065998
2009-08-10,60.003201000000004
2009-08-11,59.689178000000005
2009-08-12,60.52356700000001
2009-08-13,60.801697
2009-08-14,59.680206000000005
2009-08-17,57.706417
2009-08-18,58.540813
2009-08-19,58.675377000000005
2009-08-20,59.123974
2009-08-21,60.622261
2009-08-24,60.317218999999994
2009-08-25,60.801697
2009-08-26,60.083968999999996
2009-08-27,59.832733
2009-08-28,60.083968999999996
2009-08-31,59.186779
2009-09-01,58.370342
