,7,8,9,10,11,12,13,14,15
NSC,0.15549104117762108,0.15259595001267776,0.14650047753737824,0.14590877366848082,0.14677216071685617,0.14029119352427752,0.13764037961940961,0.13343685467356714,0.1311812595575339
FDX,0.19273990965504506,0.16298198464768576,0.15959575479032365,0.1502534568493021,0.126747782045212,0.12272678053206709,0.124253909976186,0.11511163298873307,0.11312838482234407
UNP,0.13568648310587267,0.13981092094805309,0.13881248817417047,0.13194345282261777,0.12344940947768494,0.11628755162728302,0.11734498274944179,0.11625941916981429,0.11384614492237721
UPS,0.14813388757808343,0.12587850167105388,0.11020325283386213,0.11220549180268828,0.09122179146105353,0.0841278006510628,0.07803967702680392,0.08336412196806368,0.07065651445891265
KSU,0.12192635431410728,0.09571109497269419,0.09108795138904754,0.08610240361770305,0.08328947351349252,0.07582101478063334,0.07410050029447571,0.0689679251880375,0.06975951300742288
LSTR,0.1358327300615255,0.12295196905500398,0.10779242825865876,0.10816816729474565,0.10404138133570812,0.09086082822573037,0.08389824400534071,0.07561840913485458,0.06527772493830188
JBHT,0.11018959412241712,0.08976996429037777,0.08823194605059895,0.08493348007813081,0.07726170561421115,0.07113185899101,0.07125509930360924,0.06420604664338676,0.05848432906522419
CHRW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05126508793486406
EXPD,0.0,0.0,0.0,0.0,0.08714483135426167,0.08328339427524849,0.07578931149219784,0.0726696020016017,0.05558742328913896
UAL,0.0,0.11029961437956137,0.08530700207468739,0.08442978355717408,0.06798547620828577,0.06871907780098015,0.06040052420051371,0.05903412350140741,0.059629341672816256
CSX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEX,0.0,0.0,0.0,0.0,0.0,0.059089327534274975,0.05582346512712772,0.0485398029768184,0.04859864702031718
R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04333819655429329,0.04258343086671988
ALK,0.0,0.0,0.07246869888104059,0.07146095449437447,0.0,0.0,0.04726362334130021,0.04781026281268311,0.04779291540526069
DAL,0.0,0.0,0.0,0.0,0.06745236461439705,0.06423431228996776,0.05096686409384012,0.05037537989764909,0.05043216672207329
LUV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MATX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAR,0.0,0.0,0.0,0.02459403581589714,0.02463362363917592,0.023426859756363987,0.02322341876982592,0.021268222487300863,0.021777116321912888
AAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JBLU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEinTrain,650.851746013968,394.68816825532247,343.9343246329005,303.7181587490528,268.1225070949483,229.03005369556476,195.03921767847478,169.66298419597578,147.02968400510176
TEinTest,509.7544065081635,353.03604144278427,317.8838393183179,299.7828149521781,267.3962755230435,212.77496631570466,173.77185167364595,156.77970363255386,132.01482070442623
