Date,IYT
2009-01-02,3.174848415689957
2009-01-05,-0.5664582816022778
2009-01-06,2.555827397539878
2009-01-07,-4.0384399820494465
2009-01-08,-0.5006379006182171
2009-01-09,-2.7358295543699285
2009-01-12,-3.9120685978734193
2009-01-13,-1.3627092437139776
2009-01-14,-4.758644987002136
2009-01-15,1.8624572337077927
2009-01-16,-1.3361471163826022
2009-01-20,-5.755531592459318
2009-01-21,3.384383322132445
2009-01-22,-0.621798808009455
2009-01-23,-2.281936350198621
2009-01-26,0.01884070552111705
2009-01-27,1.7511035139456288
2009-01-28,3.682440543608112
2009-01-29,-2.9448441010680337
2009-01-30,-3.126170113230553
2009-02-02,-1.5185752834875332
2009-02-03,4.086350220293222
2009-02-04,-0.9444546718624047
2009-02-05,2.1312366533563276
2009-02-06,4.9423480986997115
2009-02-09,0.06976873571595821
2009-02-10,-5.020051799281722
2009-02-11,-1.2479338667934492
2009-02-12,-0.5017724532827561
2009-02-13,-1.1393434966539773
2009-02-17,-5.063316304137522
2009-02-18,-1.4327955663665848
2009-02-19,-2.0391658683628466
2009-02-20,-0.3915796990928033
2009-02-23,-4.014064157405528
2009-02-24,4.634612969040219
2009-02-25,-3.770127644574761
2009-02-26,-2.9329442184191867
2009-02-27,-1.1689423940921873
2009-03-02,-6.694948488305242
2009-03-03,-1.6503340338348882
2009-03-04,4.863783657715115
2009-03-05,-6.841335149100891
2009-03-06,-1.9666449096034988
2009-03-09,-1.9299149108463975
2009-03-10,6.732228353188163
2009-03-11,2.280473625575663
2009-03-12,3.012359296511069
2009-03-13,-0.023027900285110814
2009-03-16,3.730964772565404
2009-03-17,3.019554978970551
2009-03-18,1.810356177131922
2009-03-19,0.16936045840711955
2009-03-20,-4.691473098206744
2009-03-23,7.02882272487193
2009-03-24,-0.8079343651924087
2009-03-25,-0.5017341444242818
2009-03-26,8.516944085450229
2009-03-27,-3.5923612447243625
2009-03-30,-4.374228305445249
2009-03-31,1.1435828383091318
2009-04-01,1.6959746345283522
2009-04-02,7.926703521768652
2009-04-03,1.1446123790853635
2009-04-06,-1.6786015540567134
2009-04-07,-5.045118198454701
2009-04-08,1.8182110944138463
2009-04-09,5.496002729772553
2009-04-13,-0.4325341880608624
2009-04-14,-0.661128523904253
2009-04-15,0.9507331073245862
2009-04-16,3.0326094149550675
2009-04-17,1.1699921571652672
2009-04-20,-5.529475059359479
2009-04-21,3.060454086991782
2009-04-22,1.4847941764872807
2009-04-23,1.2618917717865497
2009-04-24,1.065574366254718
2009-04-27,-4.717672575305299
2009-04-28,0.11255402845660178
2009-04-29,4.0277097266146145
2009-04-30,1.2065731456517792
2009-05-01,0.10674222153437274
2009-05-04,6.9143497725680625
2009-05-05,-1.0141398323625594
2009-05-06,0.8733485998379864
2009-05-07,-1.5318104808085486
2009-05-08,1.4203782716668556
2009-05-11,-3.8346279324349752
2009-05-12,-2.3751767141908187
2009-05-13,-4.688312526775029
2009-05-14,1.3787666563713108
2009-05-15,0.7719277599038232
2009-05-18,2.972841669445203
2009-05-19,-0.17712153354245697
2009-05-20,0.035456530981203827
2009-05-21,-3.8311274274323126
2009-05-22,-0.38730807675081413
2009-05-26,3.9622234735193773
2009-05-27,-2.5823450621512256
2009-05-28,1.11516670701588
2009-05-29,4.031808426765671
2009-06-01,4.275280739623821
2009-06-02,1.4000064496020759
2009-06-03,-2.3504255039195843
2009-06-04,1.548585016561499
2009-06-05,-0.14919428729996964
2009-06-08,-0.4814225756949786
2009-06-09,1.584652972121403
2009-06-10,0.0492457293048254
2009-06-11,0.08206648052788701
2009-06-12,-0.9347171945391586
2009-06-15,-4.1218407129516414
2009-06-16,-1.329390047219292
2009-06-17,0.034966399812308424
2009-06-18,0.4897565396234871
2009-06-19,0.6614604369738597
2009-06-22,-3.4065205795853593
2009-06-23,-1.1099300199471696
2009-06-24,1.6131302525740798
2009-06-25,4.407825305794533
2009-06-26,-0.03432385440358399
2009-06-29,-0.08583335883057819
2009-06-30,0.0
2009-07-01,0.670074197976045
2009-07-02,-3.4647130592683872
2009-07-06,0.2298167320982536
2009-07-07,-3.263365072539126
2009-07-08,0.054683640051211846
2009-07-09,0.2551673138174948
2009-07-10,1.327045227363488
2009-07-13,1.0943526332203302
2009-07-14,1.224507363855265
2009-07-15,1.8583298433469064
2009-07-16,2.564532882487147
2009-07-17,0.6376979480226197
2009-07-20,1.050522489130512
2009-07-21,-0.6105675479354145
2009-07-22,1.0294194174195193
2009-07-23,3.023823594540498
2009-07-24,1.2441977401549842
2009-07-27,0.8665558287702435
2009-07-28,-0.5623090971714206
2009-07-29,-1.209557060810118
2009-07-30,2.2420210768335336
2009-07-31,-0.015552495287984858
2009-08-03,2.5664967392239113
2009-08-04,0.22747010080126362
2009-08-05,-0.7716643353067321
2009-08-06,-1.0216653228383388
2009-08-07,3.1428007023313054
2009-08-10,-0.1045466688158525
2009-08-11,-0.5233437462778046
2009-08-12,1.397889915656081
2009-08-13,0.4595400003439831
2009-08-14,-1.8445060834403892
2009-08-17,-3.307275782526631
2009-08-18,1.4459327807512246
2009-08-19,0.22986356544110187
2009-08-20,0.7645404647335985
2009-08-21,2.5341446094269804
2009-08-24,-0.5031847954334867
2009-08-25,0.8032167398168699
2009-08-26,-1.1804407367116743
2009-08-27,-0.4181414846279541
2009-08-28,0.41989724921975835
2009-08-31,-1.493226920478563
2009-09-01,-1.3794246177849967
2009-09-02,-0.35352885203242534
2009-09-03,2.2212078106201405
2009-09-04,2.0371139100357816
2009-09-08,0.3401381512890156
2009-09-09,1.1201054331291038
