Date,AAL,ALK,CAR,CHRW,CSX,DAL,EXPD,FDX,JBHT,JBLU,KEX,KSU,LSTR,LUV,MATX,NSC,R,UAL,UNP,UPS
2009-01-02,8.538158078962832,1.162400560501653,7.14285714285714,1.4900663955453641,6.621442043706427,5.846438571363666,3.486595038246487,0.4520370968462917,1.7130006515829743,1.8309859154929775,3.7646124355039223,7.034126845167998,3.9032135616659636,4.060334500106055,1.197162872907498,4.293263501075595,4.229001392282616,7.713248638838466,4.874466398985011,1.722274393232981
2009-01-05,-0.715138956378425,1.486992026144196,6.666666666666665,-3.7600748420053676,2.0797515016028667,-1.4839389718429907,-2.788250873907505,-0.7603689435057737,-2.73204683138053,-1.5214384508990375,4.790422852779952,5.394805271513303,-3.0553502144150424,-3.2330503841415337,-1.419560509107387,-1.1615848748674051,-0.7916824254480481,-3.5383319292333626,3.8300419371666505,-1.6574799723009903
2009-01-06,8.76353080460932,2.4308924343068083,19.999999999999996,-0.4651251108066523,3.820004616705064,3.5983307271965526,2.091403998159591,0.20328690635387225,2.3085826790598007,2.528089887640439,4.3697445378151345,7.073060513437235,2.7899970447424094,5.299540103389311,1.6800194905444599,2.886588990155081,1.7705803240307905,5.327510917030587,3.7655797941754443,0.43493022900176204
2009-01-07,0.22074338543895955,-0.8452521593424911,1.041666666666674,-3.158853896338576,-5.2875356154467585,-4.038777562624285,-4.214205296987695,-2.2316008956650535,-3.3847493455730904,4.246575342465753,-5.958125795752844,-6.9969647158608534,-4.2975985675285155,-2.1881932916890667,-2.163679216336245,-4.649299197316658,-5.19481794230614,0.0,-7.868875926430674,-3.6268456820339967
2009-01-08,5.39650269819949,0.26228904127192365,2.0618556701030855,-0.9650633925548435,1.3813021742206333,2.861954228808705,-0.5499604784250489,-0.8938564212540578,0.4281792872695034,1.5768725361366531,-2.123291023174967,0.5607432439713289,-1.3917746175802659,0.5592806386646165,-2.4929604057804755,0.12609016768350134,0.05169407949479066,5.887230514096187,-0.9646716867408145,-2.2467597015478624
2009-01-09,-5.956131675846377,-1.994760104217319,-4.040404040404044,-3.9368508641548616,-2.015305027673331,-3.7643230610207135,-3.1643672538663625,-2.850678447391908,-5.426348959611927,-9.83182406209574,-1.679496151154647,-0.6505559075720369,-3.9148141947224713,-4.783067486929971,-4.453641546366571,-2.287956514574585,-1.3174781480819742,-4.150352388410328,-2.353871438411903,-2.4516204334915637
2009-01-12,-5.1111197173344,-1.368049452445519,-12.631578947368416,-1.6839085348983929,-6.662842365189203,-3.911567082764511,-1.5228252651626972,-0.016587425649583487,-4.8360860875201865,1.147776183644189,-3.6298932384341787,-5.706272130187228,-4.683981360064604,0.7009648966423754,-1.812642187836755,-6.960286053984621,-4.685865414056167,-4.82026143790849,-5.423924920446965,-0.5497761807709445
2009-01-13,-3.161569872997183,-1.9282842299093383,7.2289156626506035,0.3301517159997269,-1.8000770373407304,-1.6813894048664069,-1.8041377502300282,0.26530357730614185,-2.3255783704224986,0.0,-2.6218574593796062,-4.464277970041541,0.0,-3.2483046627134082,2.769200022354723,-2.7014447150793597,-1.5929826335639552,-5.2360515021459335,-2.790601325936859,-1.7966461100676345
2009-01-14,-10.64089086422204,-4.277338708121626,13.483146067415719,-3.3113988389118942,-4.867274285478973,-7.380781657022606,-5.118110663862652,-4.250075399359298,-2.3809344137365573,-8.652482269503537,-1.5927189384634555,-5.867076425834816,-3.576658387693077,-4.1966290900974474,-3.464526074297891,-6.217370556314384,-5.023722583992396,-6.974637681159413,-6.057838176761776,-3.196622172530039
2009-01-15,2.1650887041775313,0.9369515141947282,-18.811881188118818,3.765135012122367,0.2658070238556576,6.60836234914759,1.2448118693218824,1.1399065929660779,3.6133770890965256,5.124223602484457,4.238913131448441,-1.1031392124023487,4.04103850525197,3.6295162697535854,1.1520083478987697,-1.821888410956951,3.2912294347442694,8.471275559883162,-0.7940567159673617,0.31152741345665813
2009-01-16,12.980142035505837,6.354873695179797,-8.536585365853655,-3.1570010644092705,-1.1597328965056608,4.193267718958604,-0.23907488671079946,0.03418111282516012,-5.100266449405866,2.8064992614475592,0.4436266337754846,-0.7808242890875228,-1.2463990507755152,3.9855390273659586,-1.3140580378179334,-2.551500538999807,-1.137990331341121,7.271095152603224,-1.9645763790853477,-0.2070521707202566
